,Institución,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año,region
0,Agricola Super Ltd,1,1,100,0,1.0,2008,Región del Libertador General Bernardo O'Higgins
1,Instituto de Investigaciones Agropecuarias,1,1,100,0,1.0,2008,Región del Libertador General Bernardo O'Higgins
2,Centro de Salud Familiar Mostazal,2,3,100,0,0.7,2008,Región del Libertador General Bernardo O'Higgins
0,Bio Insumos Nativa,1,1,100,0,1.0,2008,Región del Maule
1,Universidad Católica del Maule,17,18,65,35,0.9,2008,Región del Maule
2,Universidad de Talca,109,146,74,26,0.7,2008,Región del Maule
3,Centro de Investigacion en Biotecnologia Silvoagricola,1,3,67,33,0.3,2008,Región del Maule
4,Servicio de Salud del Maule,1,1,0,100,1.0,2008,Región del Maule
0,Bioforest SA,2,5,100,0,0.4,2008,Región del Biobío
1,CONAMA Chilean Environm Commiss,1,1,0,100,1.0,2008,Región del Biobío
2,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,1,2,100,0,0.5,2008,Región del Biobío
3,Forestal Mininco SA,1,1,100,0,1.0,2008,Región del Biobío
4,Hospital Guillermo Grant Benavente,1,3,67,33,0.3,2008,Región del Biobío
5,Hospital Las Higueras,1,8,60,40,0.1,2008,Región del Biobío
6,Hospital Regional de Puerto Montt,1,1,0,0,1.0,2008,Región del Biobío
7,Inst Invest Pesquera INPESCA,3,6,83,17,0.5,2008,Región del Biobío
8,Universidad Católica de la Santísima Concepción,33,38,73,27,0.9,2008,Región del Biobío
9,Universidad de Concepción,615,745,66,34,0.8,2008,Región del Biobío
10,Universidad del Bío Bío,30,32,91,9,0.9,2008,Región del Biobío
11,Universidad del Desarrollo,3,2,50,50,1.5,2008,Región del Biobío
12,Universidad Santo Tomás,1,1,100,0,1.0,2008,Región del Biobío
13,Centro de Investigacion de Polimeros Avanzados,1,1,0,0,1.0,2008,Región del Biobío
14,Centro de Investigacion en Ecosistemas de la Patagonia,2,2,100,0,1.0,2008,Región del Biobío
15,Hospital Naval Almirante Adriazola,1,1,100,0,1.0,2008,Región del Biobío
16,Instituto de Ecologia y Biodiversidad,2,3,33,67,0.7,2008,Región del Biobío
17,Consorcio Genómica Forestal,1,2,100,0,0.5,2008,Región del Biobío
18,Museo Historia Natural de Concepción,1,1,100,0,1.0,2008,Región del Biobío
19,Servicio de Salud de Concepción,1,1,0,100,1.0,2008,Región del Biobío
0,Instituto de Investigaciones Agropecuarias,1,1,100,0,1.0,2008,Región de Ñuble
1,Inst Nacl Invest Agropecuarias,1,3,67,33,0.3,2008,Región de Ñuble
2,Servicio Agrícola y Ganadero,1,1,100,0,1.0,2008,Región de Ñuble
3,Universidad de Concepción,45,54,66,34,0.8,2008,Región de Ñuble
4,Universidad del Bío Bío,48,27,81,19,1.8,2008,Región de Ñuble
5,Instituto de Investigaciones Agropecuarias,13,21,80,20,0.6,2008,Región de Ñuble
0,CODELCO,1,2,100,0,0.5,2009,Región del Libertador General Bernardo O'Higgins
1,Corp Nacl Cobre,1,1,0,100,1.0,2009,Región del Libertador General Bernardo O'Higgins
2,Instituto de Investigaciones Agropecuarias,3,1,100,0,3.0,2009,Región del Libertador General Bernardo O'Higgins
3,Centro de Salud Familiar Mostazal,1,3,100,0,0.3,2009,Región del Libertador General Bernardo O'Higgins
0,Hospital de Curicó,1,2,0,100,0.5,2009,Región del Maule
