,Disciplina,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año
0,AGRICULTURAL SCIENCES,98,192,73 %,27 %,0.5,2008
1,ENGINEERING AND TECHNOLOGY,201,313,75 %,25 %,0.6,2008
2,HUMANITIES,37,39,69 %,31 %,0.9,2008
3,MEDICAL AND HEALTH SCIENCES,126,255,58 %,42 %,0.5,2008
4,NATURAL SCIENCES,587,695,70 %,30 %,0.8,2008
5,SOCIAL SCIENCES,34,45,71 %,29 %,0.8,2008
0,AGRICULTURAL SCIENCES,150,293,68 %,32 %,0.5,2009
1,ENGINEERING AND TECHNOLOGY,216,306,71 %,29 %,0.7,2009
2,HUMANITIES,40,48,56 %,44 %,0.8,2009
3,MEDICAL AND HEALTH SCIENCES,167,305,64 %,36 %,0.5,2009
4,NATURAL SCIENCES,645,759,66 %,34 %,0.8,2009
5,SOCIAL SCIENCES,50,53,65 %,35 %,0.9,2009
0,AGRICULTURAL SCIENCES,150,280,67 %,33 %,0.5,2010
1,ENGINEERING AND TECHNOLOGY,194,294,71 %,29 %,0.7,2010
2,HUMANITIES,42,45,60 %,40 %,0.9,2010
3,MEDICAL AND HEALTH SCIENCES,182,361,55 %,45 %,0.5,2010
4,NATURAL SCIENCES,644,818,68 %,32 %,0.8,2010
5,SOCIAL SCIENCES,41,55,69 %,31 %,0.7,2010
0,AGRICULTURAL SCIENCES,142,290,67 %,33 %,0.5,2011
1,ENGINEERING AND TECHNOLOGY,189,302,76 %,24 %,0.6,2011
2,HUMANITIES,43,44,66 %,34 %,1.0,2011
3,MEDICAL AND HEALTH SCIENCES,174,341,60 %,40 %,0.5,2011
4,NATURAL SCIENCES,725,956,68 %,32 %,0.8,2011
5,SOCIAL SCIENCES,63,80,74 %,26 %,0.8,2011
0,AGRICULTURAL SCIENCES,170,355,64 %,36 %,0.5,2012
1,ENGINEERING AND TECHNOLOGY,236,384,72 %,28 %,0.6,2012
2,HUMANITIES,43,53,43 %,57 %,0.8,2012
3,MEDICAL AND HEALTH SCIENCES,191,411,57 %,43 %,0.5,2012
4,NATURAL SCIENCES,810,1081,67 %,33 %,0.7,2012
5,SOCIAL SCIENCES,82,120,64 %,36 %,0.7,2012
0,AGRICULTURAL SCIENCES,169,313,71 %,29 %,0.5,2013
