,Disciplina,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año
0,ACOUSTICS,1,3,67,33,0.3,2008
1,AGRICULTURAL ENGINEERING,8,10,67,33,0.8,2008
2,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2,3,67,33,0.7,2008
3,"AGRICULTURE, MULTIDISCIPLINARY",20,45,81,19,0.4,2008
4,AGRONOMY,28,55,75,25,0.5,2008
5,ANATOMY & MORPHOLOGY,18,28,68,32,0.6,2008
6,ARCHAEOLOGY,1,1,100,0,1.0,2008
7,ARCHITECTURE,2,3,67,33,0.7,2008
8,ASTRONOMY & ASTROPHYSICS,56,32,88,13,1.8,2008
9,AUTOMATION & CONTROL SYSTEMS,6,14,79,21,0.4,2008
10,BEHAVIORAL SCIENCES,1,1,100,0,1.0,2008
11,BIOCHEMICAL RESEARCH METHODS,6,10,80,20,0.6,2008
12,BIOCHEMISTRY & MOLECULAR BIOLOGY,45,78,69,31,0.6,2008
13,BIODIVERSITY CONSERVATION,16,38,71,29,0.4,2008
14,BIOLOGY,4,6,83,17,0.7,2008
15,BIOPHYSICS,5,6,100,0,0.8,2008
16,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,20,60,64,36,0.3,2008
17,BUSINESS,2,2,50,50,1.0,2008
18,"BUSINESS, FINANCE",3,4,100,0,0.8,2008
19,CARDIAC & CARDIOVASCULAR SYSTEMS,2,4,100,0,0.5,2008
20,CELL BIOLOGY,13,31,43,57,0.4,2008
21,CHEMISTRY,92,150,62,38,0.6,2008
22,"CHEMISTRY, ANALYTICAL",10,22,41,59,0.5,2008
23,"CHEMISTRY, APPLIED",11,26,69,31,0.4,2008
24,"CHEMISTRY, INORGANIC & NUCLEAR",6,13,85,15,0.5,2008
25,"CHEMISTRY, MEDICINAL",13,15,67,33,0.9,2008
26,"CHEMISTRY, MULTIDISCIPLINARY",33,73,56,44,0.5,2008
27,"CHEMISTRY, ORGANIC",10,23,78,22,0.4,2008
28,"CHEMISTRY, PHYSICAL",32,44,70,30,0.7,2008
29,CLINICAL NEUROLOGY,1,3,67,33,0.3,2008
30,COMMUNICATION,1,1,0,100,1.0,2008
31,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",21,33,82,18,0.6,2008
32,"COMPUTER SCIENCE, CYBERNETICS",1,1,100,0,1.0,2008
33,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",3,7,43,57,0.4,2008
34,"COMPUTER SCIENCE, INFORMATION SYSTEMS",14,14,71,29,1.0,2008
35,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",11,12,92,8,0.9,2008
36,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",15,24,79,21,0.6,2008
37,"COMPUTER SCIENCE, THEORY & METHODS",19,23,83,17,0.8,2008
38,CONSTRUCTION & BUILDING TECHNOLOGY,5,5,60,40,1.0,2008
39,CRYSTALLOGRAPHY,6,11,55,45,0.5,2008
40,DEMOGRAPHY,1,1,0,100,1.0,2008
41,"DENTISTRY, ORAL SURGERY & MEDICINE",4,19,47,53,0.2,2008
42,DEVELOPMENTAL BIOLOGY,1,5,80,20,0.2,2008
43,ECOLOGY,58,79,70,30,0.7,2008
44,ECONOMICS,6,8,100,0,0.8,2008
45,EDUCATION & EDUCATIONAL RESEARCH,4,6,67,33,0.7,2008
46,ELECTROCHEMISTRY,1,1,100,0,1.0,2008
47,ENDOCRINOLOGY & METABOLISM,5,5,60,40,1.0,2008
48,ENERGY & FUELS,5,18,76,24,0.3,2008
49,"ENGINEERING, BIOMEDICAL",1,6,60,40,0.2,2008
50,"ENGINEERING, CHEMICAL",24,55,59,41,0.4,2008
51,"ENGINEERING, CIVIL",12,17,65,35,0.7,2008
52,"ENGINEERING, ELECTRICAL & ELECTRONIC",49,59,93,7,0.8,2008
53,"ENGINEERING, ENVIRONMENTAL",14,38,68,32,0.4,2008
54,"ENGINEERING, INDUSTRIAL",8,16,88,13,0.5,2008
55,"ENGINEERING, MANUFACTURING",4,7,43,57,0.6,2008
56,"ENGINEERING, MECHANICAL",7,14,92,8,0.5,2008
57,"ENGINEERING, MULTIDISCIPLINARY",12,16,93,7,0.8,2008
58,ENTOMOLOGY,5,10,70,30,0.5,2008
59,ENVIRONMENTAL SCIENCES,32,52,67,33,0.6,2008
60,ENVIRONMENTAL STUDIES,1,2,100,0,0.5,2008
61,ETHICS,1,3,67,33,0.3,2008
62,EVOLUTIONARY BIOLOGY,11,11,82,18,1.0,2008
63,FISHERIES,13,27,93,7,0.5,2008
64,FOOD SCIENCE & TECHNOLOGY,11,21,67,33,0.5,2008
65,FORESTRY,9,22,73,27,0.4,2008
66,GENETICS & HEREDITY,9,22,77,23,0.4,2008
67,GEOCHEMISTRY & GEOPHYSICS,17,14,71,29,1.2,2008
68,GEOGRAPHY,1,1,100,0,1.0,2008
69,"GEOGRAPHY, PHYSICAL",3,6,50,50,0.5,2008
70,GEOLOGY,14,19,84,16,0.7,2008
71,"GEOSCIENCES, MULTIDISCIPLINARY",13,18,83,17,0.7,2008
72,GERIATRICS & GERONTOLOGY,4,9,44,56,0.4,2008
73,GERONTOLOGY,3,5,80,20,0.6,2008
74,HEALTH CARE SCIENCES & SERVICES,4,11,27,73,0.4,2008
75,HEALTH POLICY & SERVICES,3,10,20,80,0.3,2008
76,HEMATOLOGY,1,1,100,0,1.0,2008
77,HISTORY,1,1,0,100,1.0,2008
78,HORTICULTURE,20,44,71,29,0.5,2008
79,"HUMANITIES, MULTIDISCIPLINARY",7,7,100,0,1.0,2008
80,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,5,8,88,13,0.6,2008
81,IMMUNOLOGY,2,10,71,29,0.2,2008
82,INFECTIOUS DISEASES,4,8,100,0,0.5,2008
83,INFORMATION SCIENCE & LIBRARY SCIENCE,2,2,100,0,1.0,2008
84,INSTRUMENTS & INSTRUMENTATION,6,18,83,17,0.3,2008
85,INTEGRATIVE & COMPLEMENTARY MEDICINE,2,5,60,40,0.4,2008
86,INTERNATIONAL RELATIONS,2,3,67,33,0.7,2008
87,LANGUAGE & LINGUISTICS,9,13,62,38,0.7,2008
88,LAW,1,1,100,0,1.0,2008
89,LIMNOLOGY,3,4,75,25,0.8,2008
90,LINGUISTICS,9,13,62,38,0.7,2008
91,LITERATURE,15,11,64,36,1.4,2008
92,"LITERATURE, ROMANCE",14,10,60,40,1.4,2008
93,MANAGEMENT,3,4,100,0,0.8,2008
94,MARINE & FRESHWATER BIOLOGY,44,66,76,24,0.7,2008
95,"MATERIALS SCIENCE, BIOMATERIALS",1,6,60,40,0.2,2008
96,"MATERIALS SCIENCE, CERAMICS",5,8,63,38,0.6,2008
97,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",1,5,80,20,0.2,2008
98,"MATERIALS SCIENCE, MULTIDISCIPLINARY",29,42,67,33,0.7,2008
99,"MATERIALS SCIENCE, PAPER & WOOD",8,19,84,16,0.4,2008
100,MATHEMATICAL & COMPUTATIONAL BIOLOGY,4,6,100,0,0.7,2008
101,MATHEMATICS,64,50,86,14,1.3,2008
102,"MATHEMATICS, APPLIED",31,26,100,0,1.2,2008
103,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",16,20,80,20,0.8,2008
104,MECHANICS,11,10,100,0,1.1,2008
105,MEDICAL INFORMATICS,2,3,100,0,0.7,2008
106,MEDICAL LABORATORY TECHNOLOGY,1,1,100,0,1.0,2008
107,"MEDICINE, GENERAL & INTERNAL",8,17,65,35,0.5,2008
108,"MEDICINE, RESEARCH & EXPERIMENTAL",4,8,86,14,0.5,2008
109,METALLURGY & METALLURGICAL ENGINEERING,12,14,77,23,0.9,2008
110,METEOROLOGY & ATMOSPHERIC SCIENCES,4,5,80,20,0.8,2008
