,Disciplina,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año,region
0,"AGRICULTURE, MULTIDISCIPLINARY",1,2,100,0,0.5,2008,O'Higgins
1,AGRONOMY,1,2,100,0,0.5,2008,O'Higgins
2,CARDIAC & CARDIOVASCULAR SYSTEMS,2,4,100,0,0.5,2008,O'Higgins
3,"ENGINEERING, CHEMICAL",2,1,100,0,2.0,2008,O'Higgins
4,"ENGINEERING, ENVIRONMENTAL",1,1,100,0,1.0,2008,O'Higgins
5,ENVIRONMENTAL SCIENCES,1,1,100,0,1.0,2008,O'Higgins
6,METALLURGY & METALLURGICAL ENGINEERING,1,1,0,0,1.0,2008,O'Higgins
7,MINERALOGY,2,1,100,0,2.0,2008,O'Higgins
8,MINING & MINERAL PROCESSING,3,2,100,0,1.5,2008,O'Higgins
9,PERIPHERAL VASCULAR DISEASE,2,4,100,0,0.5,2008,O'Higgins
10,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1,1,100,0,1.0,2008,O'Higgins
11,VETERINARY SCIENCES,1,1,100,0,1.0,2008,O'Higgins
0,AGRICULTURAL ENGINEERING,2,4,75,25,0.5,2008,Maule
1,"AGRICULTURE, MULTIDISCIPLINARY",7,13,83,17,0.5,2008,Maule
2,AGRONOMY,6,13,77,23,0.5,2008,Maule
3,ANATOMY & MORPHOLOGY,18,28,68,32,0.6,2008,Maule
4,ASTRONOMY & ASTROPHYSICS,1,1,100,0,1.0,2008,Maule
5,BEHAVIORAL SCIENCES,1,1,100,0,1.0,2008,Maule
6,BIOCHEMICAL RESEARCH METHODS,1,1,100,0,1.0,2008,Maule
7,BIOCHEMISTRY & MOLECULAR BIOLOGY,14,12,83,17,1.2,2008,Maule
8,BIOPHYSICS,2,2,100,0,1.0,2008,Maule
9,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2,2,100,0,1.0,2008,Maule
10,"BUSINESS, FINANCE",3,4,100,0,0.8,2008,Maule
11,CELL BIOLOGY,1,1,100,0,1.0,2008,Maule
12,CHEMISTRY,17,21,81,19,0.8,2008,Maule
13,"CHEMISTRY, ANALYTICAL",2,2,100,0,1.0,2008,Maule
14,"CHEMISTRY, APPLIED",1,1,100,0,1.0,2008,Maule
15,"CHEMISTRY, INORGANIC & NUCLEAR",2,1,100,0,2.0,2008,Maule
16,"CHEMISTRY, MEDICINAL",11,11,82,18,1.0,2008,Maule
17,"CHEMISTRY, MULTIDISCIPLINARY",2,4,75,25,0.5,2008,Maule
18,"CHEMISTRY, ORGANIC",7,14,79,21,0.5,2008,Maule
19,"CHEMISTRY, PHYSICAL",3,3,100,0,1.0,2008,Maule
20,CLINICAL NEUROLOGY,1,3,67,33,0.3,2008,Maule
21,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1,1,0,100,1.0,2008,Maule
22,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1,2,50,50,0.5,2008,Maule
23,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",3,3,100,0,1.0,2008,Maule
24,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1,2,100,0,0.5,2008,Maule
25,"COMPUTER SCIENCE, THEORY & METHODS",2,4,100,0,0.5,2008,Maule
26,"DENTISTRY, ORAL SURGERY & MEDICINE",1,3,67,33,0.3,2008,Maule
27,ECOLOGY,3,3,100,0,1.0,2008,Maule
28,ECONOMICS,2,3,100,0,0.7,2008,Maule
29,EDUCATION & EDUCATIONAL RESEARCH,1,2,50,50,0.5,2008,Maule
30,"ENGINEERING, CIVIL",1,5,40,60,0.2,2008,Maule
31,"ENGINEERING, ELECTRICAL & ELECTRONIC",1,2,50,50,0.5,2008,Maule
32,"ENGINEERING, MULTIDISCIPLINARY",1,2,100,0,0.5,2008,Maule
33,ENTOMOLOGY,2,7,71,29,0.3,2008,Maule
34,EVOLUTIONARY BIOLOGY,2,2,100,0,1.0,2008,Maule
35,FOOD SCIENCE & TECHNOLOGY,3,10,80,20,0.3,2008,Maule
36,FORESTRY,1,2,100,0,0.5,2008,Maule
37,GENETICS & HEREDITY,2,4,100,0,0.5,2008,Maule
38,HEMATOLOGY,1,1,100,0,1.0,2008,Maule
39,HORTICULTURE,15,29,75,25,0.5,2008,Maule
40,"HUMANITIES, MULTIDISCIPLINARY",3,3,100,0,1.0,2008,Maule
41,INTEGRATIVE & COMPLEMENTARY MEDICINE,2,5,60,40,0.4,2008,Maule
42,MANAGEMENT,2,3,100,0,0.7,2008,Maule
43,"MATERIALS SCIENCE, CERAMICS",2,1,0,100,2.0,2008,Maule
44,"MATERIALS SCIENCE, MULTIDISCIPLINARY",1,1,0,100,1.0,2008,Maule
45,"MATERIALS SCIENCE, PAPER & WOOD",2,5,100,0,0.4,2008,Maule
46,MATHEMATICS,7,5,60,40,1.4,2008,Maule
47,"MATHEMATICS, APPLIED",2,1,100,0,2.0,2008,Maule
48,MEDICAL LABORATORY TECHNOLOGY,1,1,100,0,1.0,2008,Maule
49,"MEDICINE, RESEARCH & EXPERIMENTAL",3,7,83,17,0.4,2008,Maule
50,MICROBIOLOGY,1,1,100,0,1.0,2008,Maule
51,MULTIDISCIPLINARY SCIENCES,1,3,67,33,0.3,2008,Maule
52,NEUROSCIENCES,1,3,67,33,0.3,2008,Maule
53,NUCLEAR SCIENCE & TECHNOLOGY,2,1,100,0,2.0,2008,Maule
54,NUTRITION & DIETETICS,1,8,25,75,0.1,2008,Maule
55,ONCOLOGY,4,7,83,17,0.6,2008,Maule
56,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,2,3,100,0,0.7,2008,Maule
57,PERIPHERAL VASCULAR DISEASE,2,2,100,0,1.0,2008,Maule
58,PHARMACOLOGY & PHARMACY,17,18,72,28,0.9,2008,Maule
59,"PHYSICS, APPLIED",1,1,100,0,1.0,2008,Maule
60,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",1,1,100,0,1.0,2008,Maule
61,"PHYSICS, CONDENSED MATTER",2,2,50,50,1.0,2008,Maule
62,"PHYSICS, MULTIDISCIPLINARY",2,6,100,0,0.3,2008,Maule
63,"PHYSICS, PARTICLES & FIELDS",2,1,100,0,2.0,2008,Maule
64,PLANT SCIENCES,11,25,92,8,0.4,2008,Maule
65,POLYMER SCIENCE,1,1,100,0,1.0,2008,Maule
66,PSYCHOLOGY,2,2,100,0,1.0,2008,Maule
67,"PSYCHOLOGY, BIOLOGICAL",1,1,100,0,1.0,2008,Maule
68,"PSYCHOLOGY, MULTIDISCIPLINARY",1,1,100,0,1.0,2008,Maule
69,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",1,1,100,0,1.0,2008,Maule
70,RELIGION,1,1,100,0,1.0,2008,Maule
71,SOIL SCIENCE,4,8,86,14,0.5,2008,Maule
72,SPECTROSCOPY,1,1,100,0,1.0,2008,Maule
73,STATISTICS & PROBABILITY,2,2,100,0,1.0,2008,Maule
74,VIROLOGY,1,1,100,0,1.0,2008,Maule
75,WATER RESOURCES,1,5,40,60,0.2,2008,Maule
76,ZOOLOGY,1,1,100,0,1.0,2008,Maule
0,ACOUSTICS,1,3,67,33,0.3,2008,Biobío
1,AGRICULTURAL ENGINEERING,1,3,50,50,0.3,2008,Biobío
2,"AGRICULTURE, MULTIDISCIPLINARY",4,8,75,25,0.5,2008,Biobío
3,AGRONOMY,5,18,72,28,0.3,2008,Biobío
4,ARCHAEOLOGY,1,1,100,0,1.0,2008,Biobío
5,ARCHITECTURE,1,1,100,0,1.0,2008,Biobío
6,ASTRONOMY & ASTROPHYSICS,55,31,87,13,1.8,2008,Biobío
7,AUTOMATION & CONTROL SYSTEMS,6,14,79,21,0.4,2008,Biobío
8,BIOCHEMICAL RESEARCH METHODS,5,9,78,22,0.6,2008,Biobío
9,BIOCHEMISTRY & MOLECULAR BIOLOGY,28,59,64,36,0.5,2008,Biobío
10,BIODIVERSITY CONSERVATION,16,38,71,29,0.4,2008,Biobío
11,BIOLOGY,4,6,83,17,0.7,2008,Biobío
12,BIOPHYSICS,3,4,100,0,0.8,2008,Biobío
13,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,16,55,63,37,0.3,2008,Biobío
14,BUSINESS,1,1,0,100,1.0,2008,Biobío
15,CELL BIOLOGY,11,25,33,67,0.4,2008,Biobío
16,CHEMISTRY,72,124,58,42,0.6,2008,Biobío
17,"CHEMISTRY, ANALYTICAL",8,20,35,65,0.4,2008,Biobío
18,"CHEMISTRY, APPLIED",7,20,65,35,0.4,2008,Biobío
19,"CHEMISTRY, INORGANIC & NUCLEAR",4,12,83,17,0.3,2008,Biobío
20,"CHEMISTRY, MEDICINAL",2,4,25,75,0.5,2008,Biobío
21,"CHEMISTRY, MULTIDISCIPLINARY",31,68,54,46,0.5,2008,Biobío
22,"CHEMISTRY, ORGANIC",3,9,78,22,0.3,2008,Biobío
23,"CHEMISTRY, PHYSICAL",29,41,68,33,0.7,2008,Biobío
24,COMMUNICATION,1,1,0,100,1.0,2008,Biobío
