Clasificación_D,Nombre de Institución,Measure Names,Measure Values
(a) Universidades Estatales CRUCH,U. TECNOLÓGICA METROPOLITANA,Matrícula Total / Mts2 Laboratorios,1.318487973
(a) Universidades Estatales CRUCH,U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,Matrícula Total / Mts2 Laboratorios,0.090143045
(a) Universidades Estatales CRUCH,U. DEL BÍO-BÍO,Matrícula Total / Mts2 Laboratorios,3.360623229
(a) Universidades Estatales CRUCH,U. DE VALPARAÍSO,Matrícula Total / Mts2 Laboratorios,1.048311002
(a) Universidades Estatales CRUCH,U. DE TARAPACÁ,Matrícula Total / Mts2 Laboratorios,0.573561412
(a) Universidades Estatales CRUCH,U. DE TALCA,Matrícula Total / Mts2 Laboratorios,0.572623649
(a) Universidades Estatales CRUCH,U. DE SANTIAGO DE CHILE,Matrícula Total / Mts2 Laboratorios,0.836221805
(a) Universidades Estatales CRUCH,U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN,Matrícula Total / Mts2 Laboratorios,1.386136713
(a) Universidades Estatales CRUCH,U. DE O HIGGINS,Matrícula Total / Mts2 Laboratorios,2.740924092
(a) Universidades Estatales CRUCH,U. DE MAGALLANES,Matrícula Total / Mts2 Laboratorios,0.513042321
(a) Universidades Estatales CRUCH,U. DE LOS LAGOS,Matrícula Total / Mts2 Laboratorios,1.102674921
(a) Universidades Estatales CRUCH,U. DE LA SERENA,Matrícula Total / Mts2 Laboratorios,0.433242334
(a) Universidades Estatales CRUCH,U. DE LA FRONTERA,Matrícula Total / Mts2 Laboratorios,1.036196148
(a) Universidades Estatales CRUCH,U. DE CHILE,Matrícula Total / Mts2 Laboratorios,0.570765963
(a) Universidades Estatales CRUCH,U. DE AYSEN,Matrícula Total / Mts2 Laboratorios,1.498098859
(a) Universidades Estatales CRUCH,U. DE ATACAMA,Matrícula Total / Mts2 Laboratorios,0.886298515
(a) Universidades Estatales CRUCH,U. DE ANTOFAGASTA,Matrícula Total / Mts2 Laboratorios,0.524439182
(a) Universidades Estatales CRUCH,U. ARTURO PRAT,Matrícula Total / Mts2 Laboratorios,1.073362209
(a) Universidades Estatales CRUCH,U. TECNOLÓGICA METROPOLITANA,Mts2 de Terrenos/Matrícula Total,5.212051710
(a) Universidades Estatales CRUCH,U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,Mts2 de Terrenos/Matrícula Total,49.628590971
(a) Universidades Estatales CRUCH,U. DEL BÍO-BÍO,Mts2 de Terrenos/Matrícula Total,
(a) Universidades Estatales CRUCH,U. DE VALPARAÍSO,Mts2 de Terrenos/Matrícula Total,16.139213921
(a) Universidades Estatales CRUCH,U. DE TARAPACÁ,Mts2 de Terrenos/Matrícula Total,117.129939930
(a) Universidades Estatales CRUCH,U. DE TALCA,Mts2 de Terrenos/Matrícula Total,82.393934216
(a) Universidades Estatales CRUCH,U. DE SANTIAGO DE CHILE,Mts2 de Terrenos/Matrícula Total,18.473466514
(a) Universidades Estatales CRUCH,U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN,Mts2 de Terrenos/Matrícula Total,6.819781133
(a) Universidades Estatales CRUCH,U. DE O HIGGINS,Mts2 de Terrenos/Matrícula Total,16.651715834
(a) Universidades Estatales CRUCH,U. DE MAGALLANES,Mts2 de Terrenos/Matrícula Total,179.137224384
(a) Universidades Estatales CRUCH,U. DE LOS LAGOS,Mts2 de Terrenos/Matrícula Total,39.597775424
