CATEGORÍA,AGRICULTURAL SCIENCES,NATURAL SCIENCES,ENGINEERING AND TECHNOLOGY,MEDICAL AND HEALTH SCIENCES,SOCIAL SCIENCES,HUMANITIES
ACOUSTICS,,"{'id': 203, 'times': 32, 'isi_publications': []}",,,,
AGRICULTURAL ECONOMICS & POLICY,"{'id': 9, 'times': 13, 'isi_publications': []}",,,,,
AGRICULTURAL ENGINEERING,"{'id': 10, 'times': 41, 'isi_publications': []}",,,,,
"AGRICULTURE, DAIRY & ANIMAL SCIENCE","{'id': 8, 'times': 18, 'isi_publications': []}",,,,,
"AGRICULTURE, MULTIDISCIPLINARY","{'id': 2, 'times': 100, 'isi_publications': []}",,,,,
AGRONOMY,"{'id': 3, 'times': 101, 'isi_publications': []}",,,,,
ALLERGY,,,,"{'id': 99, 'times': 3, 'isi_publications': []}",,
ANATOMY & MORPHOLOGY,,,,"{'id': 89, 'times': 51, 'isi_publications': []}",,
ANESTHESIOLOGY,,,,"{'id': 101, 'times': 5, 'isi_publications': []}",,
ANTHROPOLOGY,,,,,"{'id': 250, 'times': 33, 'isi_publications': []}",
ARCHAEOLOGY,,,,,,"{'id': 64, 'times': 16, 'isi_publications': []}"
ARCHITECTURE,,,,,,"{'id': 58, 'times': 76, 'isi_publications': []}"
AREA STUDIES,,,,,"{'id': 244, 'times': 16, 'isi_publications': []}",
ART,,,,,,"{'id': 59, 'times': 4, 'isi_publications': []}"
ASTRONOMY & ASTROPHYSICS,,"{'id': 204, 'times': 1388, 'isi_publications': []}",,,,
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,,,,"{'id': 102, 'times': 2, 'isi_publications': []}",,
AUTOMATION & CONTROL SYSTEMS,,,"{'id': 19, 'times': 166, 'isi_publications': []}",,,
BEHAVIORAL SCIENCES,,,,,"{'id': 233, 'times': 13, 'isi_publications': []}",
BIOCHEMICAL RESEARCH METHODS,,"{'id': 149, 'times': 56, 'isi_publications': []}",,,,
BIOCHEMISTRY & MOLECULAR BIOLOGY,,"{'id': 150, 'times': 468, 'isi_publications': []}",,,,
BIODIVERSITY CONSERVATION,,"{'id': 151, 'times': 219, 'isi_publications': []}",,,,
BIOLOGY,,"{'id': 152, 'times': 80, 'isi_publications': []}",,,,
BIOPHYSICS,,"{'id': 153, 'times': 89, 'isi_publications': []}",,,,
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,,,"{'id': 24, 'times': 199, 'isi_publications': []}",,,
BUSINESS,,,,,"{'id': 213, 'times': 69, 'isi_publications': []}",
"BUSINESS, FINANCE",,,,,"{'id': 214, 'times': 5, 'isi_publications': []}",
CARDIAC & CARDIOVASCULAR SYSTEMS,,,,"{'id': 104, 'times': 30, 'isi_publications': []}",,
CELL & TISSUE ENGINEERING,,,"{'id': 39, 'times': 1, 'isi_publications': []}",,,
CELL BIOLOGY,,"{'id': 154, 'times': 151, 'isi_publications': []}",,,,
CHEMISTRY,,"{'id': 170, 'times': 1200, 'isi_publications': []}",,,,
"CHEMISTRY, ANALYTICAL",,"{'id': 171, 'times': 124, 'isi_publications': []}",,,,
"CHEMISTRY, APPLIED",,"{'id': 172, 'times': 143, 'isi_publications': []}",,,,
"CHEMISTRY, INORGANIC & NUCLEAR",,"{'id': 173, 'times': 53, 'isi_publications': []}",,,,
"CHEMISTRY, MEDICINAL",,,,"{'id': 90, 'times': 71, 'isi_publications': []}",,
"CHEMISTRY, MULTIDISCIPLINARY",,"{'id': 174, 'times': 477, 'isi_publications': []}",,,,
"CHEMISTRY, ORGANIC",,"{'id': 175, 'times': 54, 'isi_publications': []}",,,,
"CHEMISTRY, PHYSICAL",,"{'id': 176, 'times': 452, 'isi_publications': []}",,,,
CLASSICS,,,,,,"{'id': 69, 'times': 2, 'isi_publications': []}"
CLINICAL NEUROLOGY,,,,"{'id': 105, 'times': 52, 'isi_publications': []}",,
COMMUNICATION,,,,,"{'id': 224, 'times': 8, 'isi_publications': []}",
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",,"{'id': 180, 'times': 163, 'isi_publications': []}",,,,
"COMPUTER SCIENCE, CYBERNETICS",,"{'id': 181, 'times': 17, 'isi_publications': []}",,,,
"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",,,"{'id': 20, 'times': 23, 'isi_publications': []}",,,
"COMPUTER SCIENCE, INFORMATION SYSTEMS",,"{'id': 182, 'times': 158, 'isi_publications': []}",,,,
"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",,"{'id': 183, 'times': 132, 'isi_publications': []}",,,,
"COMPUTER SCIENCE, SOFTWARE ENGINEERING",,"{'id': 184, 'times': 43, 'isi_publications': []}",,,,
"COMPUTER SCIENCE, THEORY & METHODS",,"{'id': 185, 'times': 162, 'isi_publications': []}",,,,
CONSTRUCTION & BUILDING TECHNOLOGY,,,"{'id': 15, 'times': 118, 'isi_publications': []}",,,
CRIMINOLOGY & PENOLOGY,,,,,"{'id': 222, 'times': 1, 'isi_publications': []}",
CRITICAL CARE MEDICINE,,,,"{'id': 106, 'times': 11, 'isi_publications': []}",,
CRYSTALLOGRAPHY,,"{'id': 177, 'times': 40, 'isi_publications': []}",,,,
DEMOGRAPHY,,,,,"{'id': 251, 'times': 2, 'isi_publications': []}",
"DENTISTRY, ORAL SURGERY & MEDICINE",,,,"{'id': 107, 'times': 45, 'isi_publications': []}",,
DERMATOLOGY,,,,"{'id': 108, 'times': 12, 'isi_publications': []}",,
DEVELOPMENT STUDIES,,,,,"{'id': 266, 'times': 3, 'isi_publications': []}",
DEVELOPMENTAL BIOLOGY,,"{'id': 155, 'times': 73, 'isi_publications': []}",,,,
ECOLOGY,,"{'id': 156, 'times': 664, 'isi_publications': []}",,,,
ECONOMICS,,,,,"{'id': 215, 'times': 160, 'isi_publications': []}",
EDUCATION & EDUCATIONAL RESEARCH,,,,,"{'id': 216, 'times': 84, 'isi_publications': []}",
"EDUCATION, SCIENTIFIC DISCIPLINES",,,,,"{'id': 217, 'times': 21, 'isi_publications': []}",
"EDUCATION, SPECIAL",,,,,"{'id': 218, 'times': 2, 'isi_publications': []}",
ELECTROCHEMISTRY,,"{'id': 178, 'times': 44, 'isi_publications': []}",,,,
ENDOCRINOLOGY & METABOLISM,,,,"{'id': 110, 'times': 93, 'isi_publications': []}",,
ENERGY & FUELS,,,"{'id': 25, 'times': 198, 'isi_publications': []}",,,
"ENGINEERING, AEROSPACE",,,"{'id': 34, 'times': 4, 'isi_publications': []}",,,
"ENGINEERING, BIOMEDICAL",,,"{'id': 40, 'times': 54, 'isi_publications': []}",,,
"ENGINEERING, CHEMICAL",,,"{'id': 14, 'times': 341, 'isi_publications': []}",,,
"ENGINEERING, CIVIL",,,"{'id': 16, 'times': 202, 'isi_publications': []}",,,
"ENGINEERING, ELECTRICAL & ELECTRONIC",,,"{'id': 21, 'times': 651, 'isi_publications': []}",,,
"ENGINEERING, ENVIRONMENTAL",,,"{'id': 26, 'times': 200, 'isi_publications': []}",,,
"ENGINEERING, GEOLOGICAL",,,"{'id': 27, 'times': 36, 'isi_publications': []}",,,
"ENGINEERING, INDUSTRIAL",,,"{'id': 51, 'times': 146, 'isi_publications': []}",,,
"ENGINEERING, MANUFACTURING",,,"{'id': 52, 'times': 19, 'isi_publications': []}",,,
"ENGINEERING, MARINE",,,"{'id': 28, 'times': 1, 'isi_publications': []}",,,
"ENGINEERING, MECHANICAL",,,"{'id': 35, 'times': 85, 'isi_publications': []}",,,
"ENGINEERING, MULTIDISCIPLINARY",,,"{'id': 53, 'times': 154, 'isi_publications': []}",,,
"ENGINEERING, OCEAN",,,"{'id': 29, 'times': 8, 'isi_publications': []}",,,
ENTOMOLOGY,,"{'id': 157, 'times': 79, 'isi_publications': []}",,,,
ENVIRONMENTAL SCIENCES,,"{'id': 187, 'times': 709, 'isi_publications': []}",,,,
ENVIRONMENTAL STUDIES,,,,,"{'id': 245, 'times': 109, 'isi_publications': []}",
ERGONOMICS,,,,,"{'id': 234, 'times': 4, 'isi_publications': []}",
ETHICS,,,,,,"{'id': 86, 'times': 9, 'isi_publications': []}"
ETHNIC STUDIES,,,,,"{'id': 252, 'times': 1, 'isi_publications': []}",
EVOLUTIONARY BIOLOGY,,"{'id': 158, 'times': 131, 'isi_publications': []}",,,,
FAMILY STUDIES,,,,,"{'id': 253, 'times': 5, 'isi_publications': []}",
FISHERIES,"{'id': 4, 'times': 350, 'isi_publications': []}",,,,,
FOOD SCIENCE & TECHNOLOGY,"{'id': 12, 'times': 146, 'isi_publications': []}",,"{'id': 260, 'times': 146, 'isi_publications': []}",,,
FORESTRY,"{'id': 5, 'times': 277, 'isi_publications': []}",,,,,
GASTROENTEROLOGY & HEPATOLOGY,,,,"{'id': 111, 'times': 21, 'isi_publications': []}",,
GENETICS & HEREDITY,,"{'id': 159, 'times': 147, 'isi_publications': []}",,,,
GEOCHEMISTRY & GEOPHYSICS,,"{'id': 188, 'times': 134, 'isi_publications': []}",,,,
